id,fullname,subject,age
1,Rusakov Yuri,English,45
2,Stepanov Gordey,Algebra,45
3,Bespalov Mitrofan,PE,34
4,Bespalov Mitrofan,English,45
5,Sukhanov Arsen,Chemistry,34
6,Prokhorov Ludwig,Biology,34
7,Bespalov Mitrofan,History,34
8,Rusakov Yuri,Health,33
9,Sukhanov Arsen,Geography,33
10,Sukhanov Arsen,English,23
11,Rusakov Yuri,Health,34
12,Komissarov Klim,History,34
13,Lobanov Ernest,English,45
14,Ilyin Mechislav,History,34
15,Lobanov Ernest,Geography,34
16,Bespalov Mitrofan,Chemistry,78
17,Rusakov Yuri,Geography,78
18,Stepanov Gordey,English,66
19,Rusakov Yuri,Health,45
20,Rusakov Yuri,Art,23
21,Komissarov Klim,English,23
22,Ilyin Mechislav,Art,45
23,Ilyin Mechislav,Geometry,23
24,Boris Kulikov,Biology,45
25,Komissarov Klim,PE,34
26,Veselov Anton,English,78
27,Komissarov Klim,Algebra,78
28,Sukhanov Arsen,English,66
29,Komissarov Klim,Geometry,33
30,Veselov Anton,Geography,34
31,Prokhorov Ludwig,Algebra,33
32,Komissarov Klim,Art,33
33,Ilyin Mechislav,History,33
34,Prokhorov Ludwig,History,45
35,Lobanov Ernest,Biology,33
36,Rusakov Yuri,Algebra,23
37,Boris Kulikov,Biology,33
38,Stepanov Gordey,PE,34
39,Rusakov Yuri,Health,34
40,Ilyin Mechislav,Algebra,23
41,Prokhorov Ludwig,Chemistry,78
42,Rusakov Yuri,Biology,78
43,Rusakov Yuri,Health,45
44,Ilyin Mechislav,Art,23
45,Bespalov Mitrofan,Geometry,78
46,Stepanov Gordey,Art,78
47,Ilyin Mechislav,Geography,23
48,Bespalov Mitrofan,History,33
49,Bespalov Mitrofan,Geography,78
50,Prokhorov Ludwig,Geography,33
51,Prokhorov Ludwig,Health,45
52,Bespalov Mitrofan,Health,23
53,Stepanov Gordey,PE,34
54,Veselov Anton,Health,78
55,Lobanov Ernest,Algebra,34
56,Lobanov Ernest,English,33
57,Boris Kulikov,Geography,45
58,Boris Kulikov,Health,23
59,Boris Kulikov,Biology,23
60,Bespalov Mitrofan,Chemistry,45
61,Sukhanov Arsen,History,78
62,Rusakov Yuri,PE,33
63,Bespalov Mitrofan,Geometry,66
64,Ilyin Mechislav,Health,78
65,Sukhanov Arsen,Biology,66
66,Prokhorov Ludwig,History,66
67,Komissarov Klim,History,78
68,Bespalov Mitrofan,Art,34
69,Lobanov Ernest,Art,34
70,Komissarov Klim,Geometry,23
71,Sukhanov Arsen,English,45
72,Prokhorov Ludwig,Geometry,34
73,Veselov Anton,Algebra,34
74,Ilyin Mechislav,Geometry,45
75,Rusakov Yuri,Algebra,66
76,Rusakov Yuri,Geography,33
77,Lobanov Ernest,Biology,33
78,Ilyin Mechislav,Chemistry,23
79,Stepanov Gordey,Algebra,45
80,Komissarov Klim,Chemistry,66
81,Rusakov Yuri,Chemistry,34
82,Rusakov Yuri,Biology,33
83,Stepanov Gordey,Geography,45
84,Bespalov Mitrofan,Algebra,45
85,Bespalov Mitrofan,Biology,78
86,Rusakov Yuri,Art,34
87,Veselov Anton,Algebra,45
88,Ilyin Mechislav,Art,33
89,Veselov Anton,Biology,34
90,Veselov Anton,English,45
91,Prokhorov Ludwig,English,45
92,Komissarov Klim,PE,33
93,Lobanov Ernest,Geometry,66
94,Ilyin Mechislav,Geometry,34
95,Bespalov Mitrofan,Geometry,78
96,Lobanov Ernest,Geography,34
97,Rusakov Yuri,History,66
98,Ilyin Mechislav,PE,33
99,Sukhanov Arsen,Geography,78
100,Ilyin Mechislav,Art,34
101,Komissarov Klim,Biology,34
102,Veselov Anton,Biology,23
103,Veselov Anton,Biology,33
104,Boris Kulikov,English,23
105,Prokhorov Ludwig,Art,23
106,Lobanov Ernest,Geography,23
107,Sukhanov Arsen,Algebra,45
108,Veselov Anton,Chemistry,45
109,Bespalov Mitrofan,English,23
110,Rusakov Yuri,History,23
111,Sukhanov Arsen,Health,23
112,Bespalov Mitrofan,Art,33
113,Bespalov Mitrofan,Geography,33
114,Lobanov Ernest,English,33
115,Lobanov Ernest,Biology,33
116,Prokhorov Ludwig,Algebra,45
117,Bespalov Mitrofan,Art,34
118,Ilyin Mechislav,Biology,34
119,Prokhorov Ludwig,History,66
120,Rusakov Yuri,PE,66
121,Veselov Anton,Biology,33
122,Bespalov Mitrofan,Geography,45
123,Veselov Anton,Art,34
124,Sukhanov Arsen,Geography,34
125,Komissarov Klim,Art,45
126,Prokhorov Ludwig,Algebra,78
127,Prokhorov Ludwig,Biology,33
128,Bespalov Mitrofan,Chemistry,45
129,Stepanov Gordey,Biology,23
130,Rusakov Yuri,Biology,33
131,Stepanov Gordey,Art,23
132,Rusakov Yuri,English,78
133,Boris Kulikov,Geometry,45
134,Ilyin Mechislav,Algebra,66
135,Lobanov Ernest,Geography,23
136,Boris Kulikov,Art,34
137,Stepanov Gordey,Health,45
138,Lobanov Ernest,History,45
139,Stepanov Gordey,History,34
140,Ilyin Mechislav,Algebra,33
141,Sukhanov Arsen,Chemistry,34
142,Lobanov Ernest,Chemistry,33
143,Rusakov Yuri,English,45
144,Rusakov Yuri,Art,33
145,Rusakov Yuri,Chemistry,78
146,Stepanov Gordey,History,66
147,Komissarov Klim,Biology,34
148,Rusakov Yuri,Geometry,23
149,Stepanov Gordey,Geography,78
150,Bespalov Mitrofan,Health,23
151,Komissarov Klim,Algebra,23
152,Rusakov Yuri,Biology,45
153,Boris Kulikov,Health,78
154,Sukhanov Arsen,Biology,45
155,Rusakov Yuri,Health,23
156,Prokhorov Ludwig,PE,23
157,Stepanov Gordey,Geometry,34
158,Komissarov Klim,Biology,66
159,Komissarov Klim,English,45
160,Rusakov Yuri,PE,66
161,Sukhanov Arsen,Chemistry,45
162,Sukhanov Arsen,Algebra,78
163,Boris Kulikov,Health,34
164,Stepanov Gordey,Chemistry,78
165,Ilyin Mechislav,Health,34
166,Rusakov Yuri,Health,66
167,Boris Kulikov,PE,23
168,Lobanov Ernest,Algebra,34
169,Stepanov Gordey,Health,66
170,Lobanov Ernest,PE,66
171,Veselov Anton,Biology,66
172,Rusakov Yuri,Geometry,34
173,Boris Kulikov,PE,45
174,Rusakov Yuri,Art,78
175,Stepanov Gordey,Health,33
176,Boris Kulikov,Chemistry,33
177,Bespalov Mitrofan,Geography,45
178,Bespalov Mitrofan,Art,34
179,Prokhorov Ludwig,Biology,78
180,Lobanov Ernest,Chemistry,33
181,Prokhorov Ludwig,History,66
182,Komissarov Klim,Biology,78
183,Prokhorov Ludwig,PE,34
184,Veselov Anton,Biology,66
185,Sukhanov Arsen,Biology,45
186,Prokhorov Ludwig,PE,33
187,Lobanov Ernest,Chemistry,33
188,Prokhorov Ludwig,Geometry,23
189,Komissarov Klim,PE,34
190,Bespalov Mitrofan,History,23
191,Lobanov Ernest,PE,23
192,Rusakov Yuri,History,33
193,Rusakov Yuri,PE,23
194,Komissarov Klim,Chemistry,33
195,Prokhorov Ludwig,Geography,33
196,Bespalov Mitrofan,Chemistry,34
197,Komissarov Klim,Health,33
198,Boris Kulikov,Health,34
199,Bespalov Mitrofan,Geometry,33
200,Prokhorov Ludwig,Health,33
201,Sukhanov Arsen,Biology,34
202,Ilyin Mechislav,Algebra,33
203,Komissarov Klim,English,33
204,Stepanov Gordey,Geography,34
205,Bespalov Mitrofan,Biology,34
206,Veselov Anton,Health,34
207,Sukhanov Arsen,Art,45
208,Veselov Anton,Chemistry,78
209,Komissarov Klim,Geography,78
210,Stepanov Gordey,Chemistry,78
211,Veselov Anton,History,78
212,Komissarov Klim,History,34
213,Prokhorov Ludwig,English,23
214,Veselov Anton,Biology,66
215,Stepanov Gordey,English,78
216,Prokhorov Ludwig,Health,23
217,Veselov Anton,Geography,66
218,Komissarov Klim,PE,23
219,Lobanov Ernest,Health,66
220,Boris Kulikov,Art,23
221,Veselov Anton,English,78
222,Komissarov Klim,Biology,45
223,Bespalov Mitrofan,Chemistry,33
224,Boris Kulikov,English,33
225,Ilyin Mechislav,History,66
226,Lobanov Ernest,Biology,66
227,Boris Kulikov,Geometry,66
228,Lobanov Ernest,Biology,45
229,Komissarov Klim,Geography,66
230,Ilyin Mechislav,Biology,34
231,Komissarov Klim,Algebra,33
232,Boris Kulikov,Geometry,66
233,Lobanov Ernest,Algebra,78
234,Rusakov Yuri,Biology,33
235,Veselov Anton,History,78
236,Ilyin Mechislav,Chemistry,34
237,Lobanov Ernest,Geometry,23
238,Boris Kulikov,Health,23
239,Lobanov Ernest,Algebra,78
240,Rusakov Yuri,Health,45
241,Bespalov Mitrofan,PE,78
242,Rusakov Yuri,English,33
243,Boris Kulikov,Chemistry,78
244,Veselov Anton,Geometry,78
245,Lobanov Ernest,Biology,33
246,Prokhorov Ludwig,Chemistry,33
247,Ilyin Mechislav,Chemistry,78
248,Boris Kulikov,Geometry,23
249,Rusakov Yuri,Algebra,33
250,Bespalov Mitrofan,PE,23
251,Ilyin Mechislav,Algebra,33
252,Rusakov Yuri,Chemistry,33
253,Prokhorov Ludwig,Chemistry,33
254,Bespalov Mitrofan,Chemistry,66
255,Bespalov Mitrofan,English,34
256,Rusakov Yuri,History,23
257,Sukhanov Arsen,Algebra,45
258,Bespalov Mitrofan,Geography,33
259,Stepanov Gordey,Geometry,33
260,Ilyin Mechislav,Geometry,33
261,Veselov Anton,History,33
262,Ilyin Mechislav,Algebra,45
263,Lobanov Ernest,Algebra,66
264,Veselov Anton,History,34
265,Veselov Anton,Geography,66
266,Komissarov Klim,History,78
267,Stepanov Gordey,Health,78
268,Bespalov Mitrofan,English,66
269,Boris Kulikov,Geography,23
270,Veselov Anton,Geometry,45
271,Veselov Anton,English,45
272,Veselov Anton,Geography,23
273,Stepanov Gordey,History,33
274,Rusakov Yuri,English,66
275,Ilyin Mechislav,Health,33
276,Lobanov Ernest,Geography,34
277,Rusakov Yuri,PE,45
278,Sukhanov Arsen,Health,34
279,Komissarov Klim,History,23
280,Stepanov Gordey,English,23
281,Sukhanov Arsen,English,33
282,Sukhanov Arsen,Health,33
283,Prokhorov Ludwig,Geometry,34
284,Rusakov Yuri,English,34
285,Boris Kulikov,History,33
286,Komissarov Klim,History,45
287,Ilyin Mechislav,PE,34
288,Stepanov Gordey,Biology,45
289,Veselov Anton,Geometry,45
290,Lobanov Ernest,Geography,45
291,Veselov Anton,Geometry,33
292,Bespalov Mitrofan,Algebra,66
293,Stepanov Gordey,Chemistry,34
294,Boris Kulikov,Art,66
295,Veselov Anton,Health,23
296,Lobanov Ernest,PE,66
297,Lobanov Ernest,Geometry,34
298,Bespalov Mitrofan,Geometry,23
299,Stepanov Gordey,Chemistry,78
300,Lobanov Ernest,Health,34
301,Lobanov Ernest,Chemistry,78
302,Prokhorov Ludwig,Art,66
303,Stepanov Gordey,Health,66
304,Prokhorov Ludwig,English,23
305,Stepanov Gordey,Chemistry,66
306,Sukhanov Arsen,Art,23
307,Sukhanov Arsen,PE,45
308,Lobanov Ernest,Health,66
309,Ilyin Mechislav,PE,34
310,Boris Kulikov,Algebra,45
311,Lobanov Ernest,Geography,23
312,Veselov Anton,PE,66
313,Lobanov Ernest,English,45
314,Lobanov Ernest,PE,78
315,Sukhanov Arsen,Algebra,78
316,Rusakov Yuri,Algebra,33
317,Lobanov Ernest,Algebra,78
318,Lobanov Ernest,Biology,66
319,Komissarov Klim,Geometry,23
320,Prokhorov Ludwig,English,78
321,Bespalov Mitrofan,Chemistry,45
322,Sukhanov Arsen,Chemistry,66
323,Veselov Anton,Biology,23
324,Boris Kulikov,Algebra,45
325,Bespalov Mitrofan,Art,34
326,Ilyin Mechislav,Chemistry,45
327,Ilyin Mechislav,PE,66
328,Ilyin Mechislav,History,34
329,Stepanov Gordey,Health,33
330,Lobanov Ernest,English,78
331,Prokhorov Ludwig,Biology,34
332,Stepanov Gordey,Geography,45
333,Rusakov Yuri,Health,45
334,Rusakov Yuri,Art,45
335,Bespalov Mitrofan,Geography,34
336,Stepanov Gordey,Geometry,34
337,Bespalov Mitrofan,Chemistry,33
338,Boris Kulikov,English,23
339,Prokhorov Ludwig,History,23
340,Bespalov Mitrofan,Chemistry,45
341,Stepanov Gordey,Algebra,66
342,Komissarov Klim,Chemistry,66
343,Ilyin Mechislav,Algebra,45
344,Rusakov Yuri,PE,45
345,Boris Kulikov,History,66
346,Sukhanov Arsen,Geography,33
347,Boris Kulikov,Geometry,78
348,Prokhorov Ludwig,Geometry,34
349,Boris Kulikov,Art,66
350,Stepanov Gordey,PE,45
351,Sukhanov Arsen,Chemistry,33
352,Veselov Anton,Geometry,34
353,Boris Kulikov,Chemistry,78
354,Sukhanov Arsen,Geometry,23
355,Rusakov Yuri,Art,33
356,Lobanov Ernest,Geometry,23
357,Lobanov Ernest,History,33
358,Sukhanov Arsen,Geography,45
359,Stepanov Gordey,PE,33
360,Ilyin Mechislav,Algebra,78
361,Sukhanov Arsen,History,78
362,Boris Kulikov,PE,23
363,Komissarov Klim,Geometry,78
364,Lobanov Ernest,PE,78
365,Komissarov Klim,Geography,34
366,Ilyin Mechislav,Geometry,23
367,Ilyin Mechislav,PE,23
368,Komissarov Klim,English,34
369,Prokhorov Ludwig,Health,66
370,Lobanov Ernest,Biology,45
371,Lobanov Ernest,Algebra,33
372,Boris Kulikov,Health,45
